TimeEDT,TemperatureF,Dew PointF,Humidity,Sea Level PressureIn,VisibilityMPH,Wind Direction,Wind SpeedMPH,Gust SpeedMPH,PrecipitationIn,Events,Conditions,WindDirDegrees,DateUTC
12:51 AM,71.1,66,84,29.9,10,SSW,13.8,-,N/A,,Mostly Cloudy,210,5/1/2014 4:51
1:51 AM,69.1,64.9,87,29.88,10,SSW,8.1,-,N/A,,Scattered Clouds,210,5/1/2014 5:51
2:51 AM,69.1,64,84,29.88,10,SSW,8.1,-,N/A,,Mostly Cloudy,210,5/1/2014 6:51
3:51 AM,69.1,64,84,29.88,10,SSW,9.2,-,N/A,,Mostly Cloudy,200,5/1/2014 7:51
4:51 AM,68,63,84,29.88,10,SSW,9.2,-,N/A,,Mostly Cloudy,210,5/1/2014 8:51
5:51 AM,68,63,84,29.88,10,SSW,10.4,-,N/A,,Mostly Cloudy,210,5/1/2014 9:51
6:51 AM,68,62.1,81,29.89,10,SW,12.7,-,N/A,,Mostly Cloudy,230,5/1/2014 10:51
7:51 AM,68,62.1,81,29.88,10,SW,12.7,19.6,N/A,,Mostly Cloudy,220,5/1/2014 11:51
8:51 AM,68,62.1,81,29.9,10,SW,13.8,-,N/A,,Mostly Cloudy,220,5/1/2014 12:51
9:51 AM,69.1,63,81,29.89,10,WSW,11.5,-,N/A,,Mostly Cloudy,240,5/1/2014 13:51
10:51 AM,73,63,71,29.89,10,WSW,12.7,-,N/A,,Mostly Cloudy,240,5/1/2014 14:51
11:51 AM,75.9,61,60,29.87,10,WSW,12.7,-,N/A,,Mostly Cloudy,250,5/1/2014 15:51
12:51 PM,78.1,57,48,29.86,10,WSW,21.9,25.3,N/A,,Mostly Cloudy,240,5/1/2014 16:51
1:51 PM,78.1,57,48,29.84,10,WSW,18.4,26.5,N/A,,Mostly Cloudy,240,5/1/2014 17:51
2:51 PM,75,57.9,55,29.84,10,SW,13.8,-,N/A,,Mostly Cloudy,230,5/1/2014 18:51
3:51 PM,78.1,59,52,29.81,10,WSW,25.3,35.7,N/A,,Mostly Cloudy,240,5/1/2014 19:51
4:51 PM,75,57,53,29.81,10,WSW,24.2,33.4,N/A,,Mostly Cloudy,240,5/1/2014 20:51
5:51 PM,73.9,60.1,62,29.8,10,SW,18.4,24.2,N/A,,Overcast,220,5/1/2014 21:51
6:51 PM,72,60.1,66,29.78,10,SSW,12.7,20.7,N/A,,Overcast,210,5/1/2014 22:51
7:51 PM,70,61,73,29.78,10,SSW,11.5,-,N/A,,Mostly Cloudy,210,5/1/2014 23:51
8:51 PM,68,61,78,29.79,10,SSW,12.7,-,N/A,,Mostly Cloudy,210,5/2/2014 0:51
9:51 PM,66.9,61,81,29.8,10,SW,13.8,-,N/A,,Mostly Cloudy,220,5/2/2014 1:51
10:51 PM,64.9,61,87,29.81,10,SW,11.5,-,N/A,,Mostly Cloudy,230,5/2/2014 2:51
11:51 PM,64,60.1,87,29.83,10,SW,11.5,-,N/A,,Mostly Cloudy,230,5/2/2014 3:51
